1	;79	;90	;1	;772	;2	;3.3977e+36
2	;79	;90	;1	;772	;2	;3.3977e+36
3	;79	;90	;1	;772	;2	;3.3977e+36
4	;79	;90	;1	;772	;2	;3.3977e+36
5	;80	;90	;2	;990	;7	;3.30475e+36
6	;80	;90	;2	;990	;7	;3.30475e+36
7	;80	;90	;2	;990	;7	;3.30475e+36
8	;80	;90	;2	;990	;7	;3.30475e+36
9	;80	;90	;2	;990	;7	;3.30475e+36
10	;80	;90	;2	;990	;7	;3.30475e+36
11	;80	;90	;2	;990	;7	;3.30475e+36
12	;80	;90	;2	;990	;7	;3.30475e+36
13	;80	;90	;2	;990	;7	;3.30475e+36
14	;80	;90	;2	;990	;7	;3.30475e+36
15	;80	;90	;2	;990	;7	;3.30475e+36
16	;80	;90	;2	;708	;4	;1.69018e+36
17	;80	;90	;2	;708	;4	;1.69018e+36
18	;80	;90	;2	;708	;4	;1.69018e+36
19	;80	;90	;2	;708	;4	;1.69018e+36
20	;80	;90	;2	;708	;4	;1.69018e+36
21	;80	;90	;2	;708	;4	;1.69018e+36
22	;80	;90	;2	;708	;4	;1.69018e+36
23	;80	;90	;2	;708	;4	;1.69018e+36
24	;80	;90	;2	;708	;4	;1.69018e+36
25	;80	;90	;2	;708	;4	;1.69018e+36
26	;80	;90	;2	;708	;4	;1.69018e+36
27	;80	;90	;2	;708	;4	;1.69018e+36
28	;80	;90	;2	;708	;4	;1.69018e+36
29	;80	;90	;2	;708	;4	;1.69018e+36
30	;80	;90	;2	;708	;4	;1.69018e+36
31	;80	;90	;2	;708	;4	;1.69018e+36
32	;80	;90	;2	;708	;4	;1.69018e+36
33	;80	;90	;2	;708	;4	;1.69018e+36
34	;80	;90	;2	;708	;4	;1.69018e+36
35	;80	;90	;2	;632	;5	;1.3468e+36
36	;80	;90	;2	;632	;5	;1.3468e+36
37	;80	;90	;2	;632	;5	;1.3468e+36
38	;80	;90	;2	;632	;5	;1.3468e+36
39	;80	;90	;2	;632	;5	;1.3468e+36
40	;80	;90	;2	;632	;5	;1.3468e+36
41	;80	;90	;2	;628	;4	;1.3298e+36
42	;80	;90	;2	;628	;4	;1.3298e+36
43	;80	;90	;2	;628	;4	;1.3298e+36
44	;80	;90	;2	;628	;4	;1.3298e+36
45	;80	;90	;2	;602	;3	;1.22197e+36
46	;80	;90	;2	;602	;3	;1.22197e+36
47	;80	;90	;2	;602	;3	;1.22197e+36
48	;80	;90	;2	;602	;3	;1.22197e+36
49	;80	;90	;2	;602	;3	;1.22197e+36
50	;80	;90	;2	;602	;3	;1.22197e+36
51	;80	;90	;2	;602	;3	;1.22197e+36
52	;80	;90	;2	;602	;3	;1.22197e+36
53	;80	;90	;2	;602	;3	;1.22197e+36
54	;80	;90	;2	;601	;3	;1.21791e+36
55	;80	;90	;2	;601	;3	;1.21791e+36
56	;80	;90	;2	;601	;3	;1.21791e+36
57	;80	;90	;2	;601	;3	;1.21791e+36
58	;80	;90	;2	;601	;3	;1.21791e+36
59	;80	;90	;2	;601	;3	;1.21791e+36
60	;80	;90	;2	;601	;3	;1.21791e+36
61	;80	;90	;2	;601	;3	;1.21791e+36
62	;80	;90	;2	;601	;3	;1.21791e+36
63	;80	;90	;2	;601	;3	;1.21791e+36
64	;80	;90	;2	;601	;3	;1.21791e+36
65	;80	;90	;2	;601	;3	;1.21791e+36
66	;80	;90	;2	;601	;3	;1.21791e+36
67	;80	;90	;2	;601	;3	;1.21791e+36
68	;80	;90	;2	;601	;3	;1.21791e+36
69	;80	;90	;2	;601	;3	;1.21791e+36
70	;80	;90	;2	;601	;3	;1.21791e+36
71	;80	;90	;2	;601	;3	;1.21791e+36
72	;80	;90	;2	;601	;3	;1.21791e+36
73	;80	;90	;2	;601	;3	;1.21791e+36
74	;80	;90	;2	;601	;3	;1.21791e+36
75	;80	;90	;2	;600	;3	;1.21386e+36
76	;80	;90	;2	;600	;3	;1.21386e+36
77	;80	;90	;2	;600	;3	;1.21386e+36
78	;80	;90	;2	;600	;3	;1.21386e+36
79	;80	;90	;2	;600	;3	;1.21386e+36
80	;80	;90	;2	;600	;3	;1.21386e+36
81	;80	;90	;2	;600	;3	;1.21386e+36
82	;80	;90	;2	;600	;3	;1.21386e+36
83	;80	;90	;2	;600	;3	;1.21386e+36
84	;80	;90	;2	;600	;3	;1.21386e+36
85	;80	;90	;2	;600	;3	;1.21386e+36
86	;80	;90	;2	;600	;3	;1.21386e+36
87	;80	;90	;2	;600	;3	;1.21386e+36
88	;80	;90	;2	;600	;3	;1.21386e+36
89	;80	;90	;2	;600	;3	;1.21386e+36
90	;80	;90	;2	;600	;3	;1.21386e+36
91	;80	;90	;2	;600	;3	;1.21386e+36
92	;80	;90	;2	;600	;3	;1.21386e+36
93	;80	;90	;2	;600	;3	;1.21386e+36
94	;80	;90	;2	;600	;3	;1.21386e+36
95	;80	;90	;2	;600	;3	;1.21386e+36
96	;80	;90	;2	;600	;3	;1.21386e+36
97	;80	;90	;2	;600	;3	;1.21386e+36
98	;80	;90	;2	;600	;3	;1.21386e+36
99	;80	;90	;2	;600	;3	;1.21386e+36
100	;80	;90	;2	;600	;3	;1.21386e+36
101	;80	;90	;2	;600	;3	;1.21386e+36
102	;80	;90	;2	;600	;3	;1.21386e+36
103	;80	;90	;2	;600	;3	;1.21386e+36
104	;80	;90	;2	;600	;3	;1.21386e+36
105	;80	;90	;2	;600	;3	;1.21386e+36
106	;80	;90	;2	;600	;3	;1.21386e+36
107	;80	;90	;2	;600	;3	;1.21386e+36
108	;80	;90	;2	;600	;3	;1.21386e+36
109	;80	;90	;2	;600	;3	;1.21386e+36
