5.60914E-125,,2.07221754941E-13
7.48833E-18,,5.60914E-125
5.21034E-15,,2.38385E-12
5.17936E-13,,5.40320390424001E-13
9.37028E-16,,
1.39125E-13,,
2.38385E-12,,
2.62022E-14,,
6.077E-13,,
2.52449E-18,,
4.61294E-16,,
2.28356E-13,,
2.98184E-14,,
5.29822E-14,,
6.46551E-14,,
1.95381E-15,,
7.36597E-15,,
7.31364E-16,,
7.29808E-14,,
4.15958E-15,,
1.57641E-14,,5.7944504685E-11
1.71188E-10,,1.13352E-14
1.57764E-10,,4.37839E-10
8.9781E-12,,1.14447680549737E-10
4.78449E-14,,
8.96451E-14,,
1.28142E-14,,
1.68408E-13,,
3.44579E-14,,
2.33666E-14,,
4.37839E-10,,
8.89844E-13,,
1.82593E-10,,
4.47426E-12,,
1.13352E-14,,
1.91505E-10,,
5.68617E-14,,
5.42963E-13,,
2.04226E-12,,
6.13169E-13,,
131.617,,6.58085041035941
0.0000000293634,,0.00000000347557
0.000000110841,,131.617
0.00000282638,,29.4304558028704
0.000000287988,,
0.0000000125624,,
0.0000000920239,,
0.0000000147856,,
0.0000000648821,,
0.00000353762,,
0.00000000347557,,
0.0000000416225,,
0.000000119552,,
0.0000000470875,,
0.0000000463357,,
0.000000211025,,
0.0000000161459,,
0.0000000528096,,
0.000000109764,,
0.000000582924,,
