1	;1.85327	;1.58436	;1.56647
2	;1.85327	;1.58436	;1.56647
3	;1.57228	;1.65061	;1.04897
4	;1.57228	;1.65061	;1.04897
5	;1.57228	;1.65061	;1.04897
6	;1.57228	;1.65061	;1.04897
7	;1.61461	;1.71869	;0.988194
8	;1.61461	;1.71869	;0.988194
9	;1.61461	;1.71869	;0.988194
10	;1.61461	;1.71869	;0.988194
11	;1.61461	;1.71869	;0.988194
12	;1.61461	;1.71869	;0.988194
13	;1.62974	;1.78927	;0.90171
14	;1.62974	;1.78927	;0.90171
15	;1.62974	;1.78927	;0.90171
16	;1.55596	;1.77094	;0.840625
17	;1.55596	;1.77094	;0.840625
18	;1.55596	;1.77094	;0.840625
19	;1.55596	;1.77094	;0.840625
20	;1.4335	;1.7048	;0.820261
21	;1.4335	;1.7048	;0.820261
22	;1.4335	;1.7048	;0.820261
23	;1.4335	;1.7048	;0.820261
24	;1.4335	;1.7048	;0.820261
25	;1.4335	;1.7048	;0.820261
26	;1.4335	;1.7048	;0.820261
27	;1.4335	;1.7048	;0.820261
28	;1.38786	;1.69123	;0.804546
29	;1.38786	;1.69123	;0.804546
30	;1.38786	;1.69123	;0.804546
31	;1.38786	;1.69123	;0.804546
32	;1.38786	;1.69123	;0.804546
33	;1.38786	;1.69123	;0.804546
34	;1.38786	;1.69123	;0.804546
35	;1.38786	;1.69123	;0.804546
36	;1.38786	;1.69123	;0.804546
37	;1.38786	;1.69123	;0.804546
38	;1.38786	;1.69123	;0.804546
39	;1.38786	;1.69123	;0.804546
40	;1.38786	;1.69123	;0.804546
41	;1.38786	;1.69123	;0.804546
42	;1.38786	;1.69123	;0.804546
43	;1.38786	;1.69123	;0.804546
44	;1.38786	;1.69123	;0.804546
45	;1.38786	;1.69123	;0.804546
46	;1.38786	;1.69123	;0.804546
47	;1.38786	;1.69123	;0.804546
48	;1.38786	;1.69123	;0.804546
49	;1.38786	;1.69123	;0.804546
50	;1.38786	;1.69123	;0.804546
51	;1.38786	;1.69123	;0.804546
52	;1.38786	;1.69123	;0.804546
53	;1.38786	;1.69123	;0.804546
54	;1.38786	;1.69123	;0.804546
1	;1.53388	;1.71209	;0.905831
2	;1.53388	;1.71209	;0.905831
3	;1.53388	;1.71209	;0.905831
4	;1.53388	;1.71209	;0.905831
5	;1.53388	;1.71209	;0.905831
6	;1.53388	;1.71209	;0.905831
7	;1.53388	;1.71209	;0.905831
8	;1.53388	;1.71209	;0.905831
9	;1.53388	;1.71209	;0.905831
10	;1.53388	;1.71209	;0.905831
11	;1.53388	;1.71209	;0.905831
12	;1.53388	;1.71209	;0.905831
13	;1.53388	;1.71209	;0.905831
14	;1.53388	;1.71209	;0.905831
15	;1.53388	;1.71209	;0.905831
16	;1.53388	;1.71209	;0.905831
17	;1.53388	;1.71209	;0.905831
18	;1.53388	;1.71209	;0.905831
19	;1.53388	;1.71209	;0.905831
20	;1.53388	;1.71209	;0.905831
21	;1.53388	;1.71209	;0.905831
22	;1.53388	;1.71209	;0.905831
23	;1.53388	;1.71209	;0.905831
24	;1.46845	;1.67831	;0.894617
25	;1.46845	;1.67831	;0.894617
26	;1.46845	;1.67831	;0.894617
27	;1.46845	;1.67831	;0.894617
28	;1.46845	;1.67831	;0.894617
29	;1.46845	;1.67831	;0.894617
30	;1.46845	;1.67831	;0.894617
31	;1.46845	;1.67831	;0.894617
32	;1.46845	;1.67831	;0.894617
33	;1.46845	;1.67831	;0.894617
34	;1.46845	;1.67831	;0.894617
35	;1.46845	;1.67831	;0.894617
36	;1.47426	;1.68324	;0.892016
37	;1.43056	;1.69102	;0.839839
38	;1.43056	;1.69102	;0.839839
39	;1.43056	;1.69102	;0.839839
40	;1.43056	;1.69102	;0.839839
41	;1.40008	;1.69066	;0.815102
42	;1.40008	;1.69066	;0.815102
43	;1.40008	;1.69066	;0.815102
44	;1.40008	;1.69066	;0.815102
45	;1.40008	;1.69066	;0.815102
46	;1.40008	;1.69066	;0.815102
47	;1.46109	;1.72854	;0.807763
48	;1.46109	;1.72854	;0.807763
49	;1.46109	;1.72854	;0.807763
50	;1.46109	;1.72854	;0.807763
51	;1.46109	;1.72854	;0.807763
52	;1.46109	;1.72854	;0.807763
53	;1.46109	;1.72854	;0.807763
54	;1.46109	;1.72854	;0.807763
55	;1.46109	;1.72854	;0.807763
56	;1.46109	;1.72854	;0.807763
57	;1.46109	;1.72854	;0.807763
58	;1.42842	;1.71392	;0.801462
59	;1.42842	;1.71392	;0.801462
60	;1.42842	;1.71392	;0.801462
61	;1.42842	;1.71392	;0.801462
62	;1.42842	;1.71392	;0.801462
63	;1.42842	;1.71392	;0.801462
