0.0127686,0.0541124  0.417868   8.43539,,0.0150836,0.0126947,0.0134390380952381,0.000789732084618696
0.0133715,0.0581366  0.532585   5.42832,,,,,
0.0126947,0.0528266  0.384604   9.82775,,,,,
0.0130077,0.0560145  0.469467   6.83068,,,,,
0.0150836,0.0632961  0.705134   3.33923,,,,,
0.0149689,0.0633962  0.709186   3.25173,,,,,
0.012837,0.0544173    0.4253   8.19283,,,,,
0.0139656,0.0529778  0.367131   11.5534,,,,,
0.0129318,0.0556099   0.45858   7.11883,,,,,
0.0127758,0.053105 0.390289  9.60729,,,,,
0.0141917,0.0612197  0.632306   3.98859,,,,,
0.013178,0.0571441  0.502587   6.02964,,,,,
0.013696,0.0593399  0.569445   4.83045,,,,,
0.0127874,0.0538502    0.4109   8.73176,,,,,
0.0150361,0.0635473  0.714651   3.21012,,,,,
0.0137658,0.0597659  0.583958   4.59951,,,,,
0.0133676,0.0581072  0.531664   5.44659,,,,,
0.0128817,0.0531396  0.391884   9.64072,,,,,
0.0128585,0.0549991  0.441665    7.6247,,,,,
0.0127803,0.0504487  0.326588   13.3759,,,,,
0.0132715,0.0576469  0.517701    5.7142,,,,,
