13.3704,5.95803 5.42093 4.47375 3.44726 2.18207,,13.3883,13.3652,13.3667571428571,0.00506345449555639
13.3661,5.97517 5.32091 4.49633 3.49902 2.18372,,,,,
13.3658,6.03207 5.26733 4.51372 3.50037 2.16117,,,,,
13.3652,6.01677 5.30557 4.49405  3.5036 2.15368,,,,,
13.3652,6.01897 5.30539 4.49187 3.50335  2.1541,,,,,
13.3654,6.00858 5.32285 4.49521  3.5022 2.14506,,,,,
13.3663,5.97437  5.3303 4.52174 3.49632 2.15276,,,,,
13.3883, 5.8871 5.48447 4.45892 3.49215  2.1882,,,,,
13.3652,6.02237 5.30389 4.49801 3.50304 2.14642,,,,,
13.3653,6.02753 5.30236 4.49912 3.49537  2.1494,,,,,
13.3652,6.02306 5.30391 4.49228 3.50301 2.15143,,,,,
13.3657,6.03834  5.3201  4.4748  3.4794 2.16178,,,,,
13.3655,5.99998 5.31116 4.48696  3.5127 2.16339,,,,,
13.3652,6.02183 5.30721 4.48932 3.49842 2.15692,,,,,
13.3653,6.02288 5.30608 4.49559 3.50264 2.14656,,,,,
13.3652,6.01387  5.3103 4.48978 3.50744  2.1523,,,,,
13.3652,6.01659 5.30861  4.4932 3.50226 2.15304,,,,,
13.3657,6.03574  5.3101 4.51101 3.47821 2.13935,,,,,
13.3652,6.02085 5.30975 4.48972 3.49869 2.15468,,,,,
13.3653,6.00713 5.31292 4.49102 3.50308 2.15959,,,,,
13.3652,6.01678 5.30867 4.49691 3.49807 2.15323,,,,,
