1	;0.767319	;0.512111	;268.242
2	;0.767319	;0.512111	;268.242
3	;0.767319	;0.512111	;268.242
4	;0.767319	;0.512111	;268.242
5	;0.74311	;0.575528	;267.736
6	;0.74311	;0.575528	;267.736
7	;0.74311	;0.575528	;267.736
8	;0.74311	;0.575528	;267.736
9	;0.74311	;0.575528	;267.736
10	;0.762658	;0.505612	;266.273
11	;0.762658	;0.505612	;266.273
12	;0.762658	;0.505612	;266.273
13	;0.762658	;0.505612	;266.273
14	;0.762658	;0.505612	;266.273
15	;0.762658	;0.505612	;266.273
16	;0.762658	;0.505612	;266.273
17	;0.762658	;0.505612	;266.273
18	;0.762658	;0.505612	;266.273
19	;0.762658	;0.505612	;266.273
20	;0.762658	;0.505612	;266.273
21	;0.762658	;0.505612	;266.273
22	;0.759641	;0.504514	;265.31
23	;0.759641	;0.504514	;265.31
24	;0.759641	;0.504514	;265.31
25	;0.759641	;0.504514	;265.31
26	;0.759641	;0.504514	;265.31
27	;0.759641	;0.504514	;265.31
28	;0.759641	;0.504514	;265.31
29	;0.759641	;0.504514	;265.31
30	;0.759641	;0.504514	;265.31
31	;0.77231	;0.467417	;265.184
32	;0.77231	;0.467417	;265.184
33	;0.771679	;0.468311	;265.095
34	;0.771679	;0.468311	;265.095
35	;0.771679	;0.468311	;265.095
36	;0.771679	;0.468311	;265.095
37	;0.771679	;0.468311	;265.095
38	;0.773995	;0.456261	;264.545
39	;0.773995	;0.456261	;264.545
40	;0.773995	;0.456261	;264.545
41	;0.773995	;0.456261	;264.545
42	;0.773995	;0.456261	;264.545
43	;0.799785	;0.379932	;264.207
44	;0.799785	;0.379932	;264.207
45	;0.799785	;0.379932	;264.207
46	;0.799785	;0.379932	;264.207
47	;0.799485	;0.379929	;264.121
48	;0.799485	;0.379929	;264.121
49	;0.799485	;0.379929	;264.121
50	;0.799485	;0.379929	;264.121
51	;0.799485	;0.379929	;264.121
52	;0.799485	;0.379929	;264.121
53	;0.799485	;0.379929	;264.121
54	;0.799485	;0.379929	;264.121
55	;0.799485	;0.379929	;264.121
56	;0.799485	;0.379929	;264.121
57	;0.799485	;0.379929	;264.121
58	;0.799485	;0.379929	;264.121
59	;0.799485	;0.379929	;264.121
60	;0.799485	;0.379929	;264.121
61	;0.798915	;0.38152	;264.119
62	;0.798571	;0.381349	;264.005
63	;0.798571	;0.381349	;264.005
64	;0.798571	;0.381349	;264.005
65	;0.798571	;0.381349	;264.005
66	;0.798571	;0.381349	;264.005
67	;0.798571	;0.381349	;264.005
68	;0.798571	;0.381349	;264.005
69	;0.798571	;0.381349	;264.005
70	;0.798627	;0.380925	;263.978
71	;0.798627	;0.380925	;263.978
72	;0.798627	;0.380925	;263.978
73	;0.798626	;0.380859	;263.971
74	;0.798626	;0.380859	;263.971
75	;0.798626	;0.380859	;263.971
76	;0.798626	;0.380859	;263.971
77	;0.798626	;0.380859	;263.971
78	;0.798626	;0.380859	;263.971
79	;0.798626	;0.380859	;263.971
80	;0.798626	;0.380859	;263.971
81	;0.798626	;0.380859	;263.971
82	;0.798626	;0.380859	;263.971
83	;0.798626	;0.380859	;263.971
84	;0.798626	;0.380859	;263.971
85	;0.798626	;0.380859	;263.971
86	;0.798626	;0.380859	;263.971
87	;0.798626	;0.380859	;263.971
88	;0.798626	;0.380859	;263.971
89	;0.796661	;0.386405	;263.97
90	;0.796622	;0.386401	;263.959
91	;0.796658	;0.386181	;263.947
92	;0.796642	;0.386214	;263.946
93	;0.796642	;0.386214	;263.946
94	;0.796642	;0.386214	;263.946
95	;0.796642	;0.386214	;263.946
96	;0.796648	;0.386172	;263.943
97	;0.796648	;0.386172	;263.943
98	;0.796647	;0.386175	;263.943
99	;0.796646	;0.386173	;263.943
100	;0.796646	;0.386173	;263.943
101	;0.796646	;0.386173	;263.943
102	;0.796646	;0.386173	;263.943
103	;0.796646	;0.386173	;263.943
104	;0.796646	;0.386173	;263.943
105	;0.796646	;0.386173	;263.943
106	;0.796646	;0.386173	;263.943
107	;0.796646	;0.386173	;263.943
108	;0.796646	;0.386173	;263.943
109	;0.796646	;0.386173	;263.943
110	;0.796641	;0.386173	;263.941
111	;0.796641	;0.386173	;263.941
112	;0.796641	;0.386173	;263.941
113	;0.796641	;0.386173	;263.941
114	;0.796641	;0.386173	;263.941
115	;0.796641	;0.386173	;263.941
116	;0.796641	;0.386172	;263.941
117	;0.796641	;0.386172	;263.941
118	;0.796641	;0.386172	;263.941
119	;0.796641	;0.386172	;263.941
120	;0.796641	;0.386172	;263.941
121	;0.796641	;0.386172	;263.941
122	;0.796641	;0.386172	;263.941
123	;0.796641	;0.386172	;263.941
124	;0.796641	;0.386172	;263.941
125	;0.796641	;0.386172	;263.941
126	;0.796641	;0.386172	;263.941
127	;0.796641	;0.386172	;263.941
128	;0.796641	;0.386172	;263.941
129	;0.796641	;0.386172	;263.941
130	;0.796641	;0.386172	;263.941
131	;0.796641	;0.386172	;263.941
132	;0.796641	;0.386172	;263.941
133	;0.796641	;0.386172	;263.941
134	;0.796641	;0.386172	;263.941
135	;0.796641	;0.386172	;263.941
136	;0.796641	;0.386172	;263.941
137	;0.796641	;0.386172	;263.941
138	;0.796641	;0.386172	;263.941
139	;0.796641	;0.386172	;263.941
140	;0.796641	;0.386172	;263.941
141	;0.796641	;0.386172	;263.941
142	;0.796641	;0.386172	;263.941
143	;0.796641	;0.386172	;263.941
144	;0.796641	;0.386172	;263.941
145	;0.796641	;0.386172	;263.941
146	;0.796641	;0.386172	;263.941
147	;0.796641	;0.386172	;263.941
148	;0.796641	;0.386172	;263.941
149	;0.796641	;0.386172	;263.941
150	;0.796641	;0.386172	;263.941

1	;0.777803	;0.445656	;264.561
2	;0.777803	;0.445656	;264.561
3	;0.777803	;0.445656	;264.561
4	;0.777361	;0.441379	;264.009
5	;0.777361	;0.441379	;264.009
6	;0.777361	;0.441379	;264.009
7	;0.777361	;0.441379	;264.009
8	;0.777361	;0.441379	;264.009
9	;0.777361	;0.441379	;264.009
10	;0.777361	;0.441379	;264.009
11	;0.777361	;0.441379	;264.009
12	;0.777361	;0.441379	;264.009
13	;0.777361	;0.441379	;264.009
14	;0.776959	;0.442478	;264.005
15	;0.776959	;0.442478	;264.005
16	;0.778906	;0.436945	;264.003
17	;0.778906	;0.436945	;264.003
18	;0.779156	;0.436004	;263.979
19	;0.779216	;0.435774	;263.973
20	;0.779152	;0.435913	;263.969
21	;0.779152	;0.435913	;263.969
22	;0.779178	;0.43583	;263.968
23	;0.779178	;0.43583	;263.968
24	;0.779178	;0.43583	;263.968
25	;0.779171	;0.435829	;263.966
26	;0.779171	;0.435829	;263.966
27	;0.779168	;0.435829	;263.965
28	;0.779168	;0.435829	;263.965
29	;0.779168	;0.435829	;263.965
30	;0.784669	;0.42	;263.938
31	;0.784669	;0.42	;263.938
32	;0.785661	;0.417072	;263.926
33	;0.785661	;0.417072	;263.926
34	;0.785661	;0.417072	;263.926
35	;0.785691	;0.416837	;263.911
36	;0.785704	;0.416729	;263.904
37	;0.785713	;0.416692	;263.902
38	;0.785713	;0.416692	;263.902
39	;0.785713	;0.416692	;263.902
40	;0.785713	;0.416692	;263.902
41	;0.785713	;0.416692	;263.902
42	;0.785713	;0.416693	;263.902
43	;0.785713	;0.416693	;263.902
44	;0.785713	;0.416693	;263.902
45	;0.785713	;0.416693	;263.902
46	;0.785713	;0.416693	;263.902
47	;0.785713	;0.416693	;263.902
48	;0.785713	;0.416692	;263.902
49	;0.785713	;0.416692	;263.902
50	;0.785713	;0.416692	;263.902
51	;0.785713	;0.416692	;263.902
52	;0.785713	;0.416693	;263.902
53	;0.785713	;0.416693	;263.902
54	;0.785713	;0.416693	;263.902
55	;0.785713	;0.416693	;263.902
56	;0.785713	;0.416693	;263.902
57	;0.785713	;0.416693	;263.902
58	;0.785713	;0.416693	;263.902
59	;0.785713	;0.416693	;263.902
60	;0.785713	;0.416693	;263.902
61	;0.785713	;0.416693	;263.902
62	;0.785713	;0.416692	;263.902
63	;0.785713	;0.416692	;263.902
64	;0.785713	;0.416692	;263.902
65	;0.785713	;0.416692	;263.902
66	;0.785713	;0.416692	;263.902
67	;0.785713	;0.416692	;263.902
68	;0.785713	;0.416692	;263.902
69	;0.785713	;0.416692	;263.902
70	;0.785713	;0.416692	;263.902
71	;0.785713	;0.416692	;263.902
72	;0.785713	;0.416692	;263.902
73	;0.785713	;0.416692	;263.902
74	;0.785713	;0.416692	;263.902
75	;0.785713	;0.416692	;263.902
76	;0.785713	;0.416692	;263.902
77	;0.785713	;0.416692	;263.902
78	;0.785713	;0.416692	;263.902
79	;0.785713	;0.416692	;263.902
80	;0.785713	;0.416692	;263.902
81	;0.785713	;0.416692	;263.902
82	;0.785713	;0.416692	;263.902
83	;0.785713	;0.416692	;263.902
84	;0.785713	;0.416692	;263.902
85	;0.785713	;0.416692	;263.902
86	;0.785713	;0.416692	;263.902
87	;0.785713	;0.416692	;263.902
88	;0.785713	;0.416692	;263.902
89	;0.785713	;0.416692	;263.902
