4	;0.793303	;0.127227	;0.518731
5	;0.842195	;0.142687	;0.449008
6	;0.908691	;0.00843015	;0.408036
7	;0.94432	;0.0259619	;0.359275
8	;0.967151	;0.0322941	;0.33178
9	;0.974933	;0.0210752	;0.328305
10	;0.980961	;0.01824	;0.323269
11	;0.980961	;0.01824	;0.323269
12	;0.986023	;0.0110799	;0.321314
13	;0.988465	;0.010798	;0.318942
14	;0.98906	;0.0107567	;0.318352
15	;0.990553	;0.00778902	;0.318232
16	;0.991571	;0.00761919	;0.317276
17	;0.992179	;0.00776865	;0.316587
18	;0.992179	;0.00776865	;0.316587
19	;0.992209	;0.00774625	;0.316567
20	;0.992209	;0.00774625	;0.316567
21	;0.992222	;0.00773689	;0.316559
22	;0.99226	;0.00773659	;0.316521
23	;0.99226	;0.00773659	;0.316521
24	;0.992274	;0.00771108	;0.316518
25	;0.992296	;0.00769024	;0.316506
26	;0.992304	;0.007691	;0.316497
27	;0.992309	;0.00769108	;0.316493
28	;0.992313	;0.00768523	;0.316491
29	;0.992313	;0.00768523	;0.316491
30	;0.992313	;0.00768523	;0.316491
31	;0.992313	;0.00768551	;0.316491
32	;0.992314	;0.00768563	;0.31649
33	;0.992314	;0.00768562	;0.31649
34	;0.992314	;0.00768562	;0.31649
35	;0.998811	;-0.000618472	;0.314001
36	;0.998811	;-0.000618472	;0.314001
37	;0.99877	;0.000544382	;0.313459
38	;0.9987	;0.00115621	;0.313225
39	;0.99923	;0.000600404	;0.312971
40	;0.999218	;0.000637292	;0.312964
41	;0.999269	;0.000716911	;0.312874
42	;0.999285	;0.000695734	;0.312868
43	;0.999319	;0.000678287	;0.312843
44	;0.999326	;0.000665104	;0.312842
45	;0.999332	;0.000666555	;0.312836
46	;0.999332	;0.000666555	;0.312836
47	;0.999365	;0.000609562	;0.312831
48	;0.999385	;0.000597536	;0.312817
49	;0.999396	;0.000603045	;0.312804
50	;0.999405	;0.00059359	;0.312799
51	;0.999412	;0.000582201	;0.312798
52	;0.999421	;0.000575278	;0.312793
53	;0.999422	;0.000576126	;0.31279
54	;0.999423	;0.000576541	;0.31279
55	;0.999423	;0.00057658	;0.312789
56	;0.999423	;0.00057658	;0.312789
57	;0.999423	;0.00057652	;0.312789
58	;0.999423	;0.00057652	;0.312789
59	;0.999423	;0.000576516	;0.312789
60	;0.999488	;0.000479144	;0.312773
61	;0.999533	;0.0004561	;0.31274
62	;0.999531	;0.000464427	;0.312737
63	;0.999532	;0.0004645	;0.312736
64	;0.999533	;0.000465393	;0.312735
65	;0.999534	;0.000465095	;0.312734
66	;0.999535	;0.000464669	;0.312734
67	;0.999535	;0.000464698	;0.312734
68	;0.999535	;0.000464767	;0.312733
69	;0.999535	;0.000464773	;0.312733
70	;0.999535	;0.000464765	;0.312733
71	;0.999535	;0.000464545	;0.312733
72	;0.999535	;0.000464545	;0.312733
73	;0.999535	;0.000464567	;0.312733
74	;0.999636	;0.000356583	;0.312686
75	;0.999682	;0.000276142	;0.312681
76	;0.999706	;0.000288623	;0.31265
77	;0.999763	;0.000214369	;0.31263
78	;0.999799	;0.000172691	;0.312614
79	;0.999843	;0.000139945	;0.312587
80	;0.999859	;0.000125022	;0.312579
81	;0.999868	;0.000125673	;0.312569
82	;0.999871	;0.000128635	;0.312565
83	;0.999876	;0.000123837	;0.312562
84	;0.999879	;0.000118355	;0.312562
85	;0.99989	;0.000105103	;0.312558
86	;0.999898	;9.70249e-05	;0.312554
87	;0.999906	;9.38832e-05	;0.312547
88	;0.999908	;9.16869e-05	;0.312547
89	;0.999915	;7.96999e-05	;0.312546
90	;0.99992	;7.76802e-05	;0.312541
91	;0.999922	;7.7246e-05	;0.312539
92	;0.999923	;7.65508e-05	;0.312539
93	;0.999924	;7.53905e-05	;0.312538
94	;0.999926	;7.42384e-05	;0.312537
95	;0.999926	;7.42384e-05	;0.312537
96	;0.999926	;7.42384e-05	;0.312537
97	;0.999926	;7.41867e-05	;0.312537
98	;0.999926	;7.41867e-05	;0.312537
99	;0.999926	;7.41524e-05	;0.312537
100	;0.999926	;7.41487e-05	;0.312537
101	;0.999926	;7.41376e-05	;0.312537
102	;0.999926	;7.4129e-05	;0.312537
103	;0.999926	;7.41301e-05	;0.312537
