1	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
2	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
3	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
4	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
5	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
6	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
7	;9.31107	;47.039	;84.3019	;1.46551	;10.1852
8	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
9	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
10	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
11	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
12	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
13	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
14	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
15	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
16	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
17	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
18	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
19	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
20	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
21	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
22	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
23	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
24	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
25	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
26	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
27	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
28	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
29	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
30	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
31	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
32	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
33	;57.2323	;46.7441	;64.2267	;1.17662	;8.30419
34	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
35	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
36	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
37	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
38	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
39	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
40	;57.1601	;34.1158	;37.5552	;1.05856	;8.09825
41	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
42	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
43	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
44	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
45	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
46	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
47	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
48	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
49	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
50	;57.1672	;32.9174	;41.308	;1.06036	;7.48272
51	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
52	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
53	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
54	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
55	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
56	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
57	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
58	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
59	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
60	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
61	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
62	;56.3409	;32.5681	;42.2353	;1.05358	;7.34338
63	;57.4295	;32.3865	;44.3796	;1.05782	;7.22085
64	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
65	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
66	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
67	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
68	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
69	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
70	;57.2932	;32.3264	;47.6516	;1.06163	;7.10335
71	;57.3575	;32.3283	;47.595	;1.06002	;7.09428
72	;57.3575	;32.3283	;47.595	;1.06002	;7.09428
73	;57.3575	;32.3283	;47.595	;1.06002	;7.09428
74	;56.1821	;32.3533	;47.5867	;1.05658	;7.08433
75	;57.777	;32.3492	;47.59	;1.05653	;7.06869
76	;57.777	;32.3492	;47.59	;1.05653	;7.06869
77	;57.777	;32.3492	;47.59	;1.05653	;7.06869
78	;57.777	;32.3492	;47.59	;1.05653	;7.06869
79	;57.777	;32.3492	;47.59	;1.05653	;7.06869
80	;57.777	;32.3492	;47.59	;1.05653	;7.06869
81	;57.777	;32.3492	;47.59	;1.05653	;7.06869
82	;57.777	;32.3492	;47.59	;1.05653	;7.06869
83	;57.777	;32.3492	;47.59	;1.05653	;7.06869
84	;57.777	;32.3492	;47.59	;1.05653	;7.06869
85	;57.777	;32.3492	;47.59	;1.05653	;7.06869
86	;57.777	;32.3492	;47.59	;1.05653	;7.06869
87	;58.1024	;32.3515	;47.6099	;1.05653	;7.06515
88	;58.1024	;32.3515	;47.6099	;1.05653	;7.06515
89	;58.1024	;32.3515	;47.6099	;1.05653	;7.06515
90	;58.1024	;32.3515	;47.6099	;1.05653	;7.06515
91	;58.1016	;32.3332	;47.6106	;1.05669	;7.06493
92	;58.1016	;32.3332	;47.6106	;1.05669	;7.06493
93	;58.1016	;32.3332	;47.6106	;1.05669	;7.06493
94	;58.1016	;32.3332	;47.6106	;1.05669	;7.06493
95	;58.1016	;32.3332	;47.6106	;1.05669	;7.06493
96	;57.9764	;32.333	;47.6111	;1.05629	;7.06337
97	;57.9764	;32.333	;47.6111	;1.05629	;7.06337
98	;57.9588	;32.3318	;47.6173	;1.05628	;7.06309
